SlNo,CabinetId,CabinetNumber,Status,BranchId,BranchName,BranchCity,BranchArea,BranchAddress,MerchantId,MerchantName,MerchantAddress
12,23,BC101911001577,false,1854,Bangalore Metro Yelchenahalli,BANGALORE,KARNATAKA,"Kanakapura Rd Harsha Layout Kumaraswamy Layout Bengaluru, Arisinakunte, Karnataka 560078",547,Metro Station,"Sadanandanagar, Bennigana Halli, Bengaluru, Karnataka 560038"
13,24,BC101911000771,true,3947,PVR Phoenix Marketcity Mall Mahadevapura Bangalore,BANGALORE,KARNATAKA,"Whitefield main road, devesandra ,industrial estate, Mahadevapura, Bangalore Karnataka - 560048",2,PVR Cinemas,"Block A4th FloorBuilding No.9 DLF Cyber CityPhase III Gurgaon : 122002"
14,32,BC101911001051,false,1846,Bangalore Metro JP Nagar,BANGALORE,KARNATAKA,"Kanakapura rd,Gangadhar nagar,Umarbagh layout JP nagar,Bengaluru 560078",547,Metro Station,"Sadanandanagar, Bennigana Halli, Bengaluru, Karnataka 560038"
15,33,BC101911000450,false,118,Just Bake, Girinagar,BANGALORE,KARNATAKA,"194, Vishweshwaraiah Rd, 1st phase Girinagar, Banashankari Stage I, Banashankari, Bengaluru, Karnataka 560085, India",4,Just Bake,"Ashok Pillar cafe coffee day , Bridage homestead, Ashok Pillar"
16,35,BC101911001209,true,271,Sai Lakshmi residency,HYDERABAD,TELANGANA,"679, Prashanth Nagar, Vanasthalipuram, Hyderabad, Telangana 500070",1,Spykke,"309,Manbhavan appts., plot-26, sector-10, Dwarka"
17,37,BC101911001188,false,265,Shivalik Vihar,PATIALA,PUNJAB,"AKS2  Shivalik Vihar Patiala Road Zirakpur",1,Spykke,"309,Manbhavan appts., plot-26, sector-10, Dwarka"
18,40,BC101911001950,true,25,Cafe Coffee Day Cunningham Road Bangalore,BANGALORE,KARNATAKA,"cafe coffee day 35/4, Cunningham Road, Near Sigma Mall,Bengaluru,Karnataka,560052",5,Cafe Coffee Day,"CAFE COFFEE DAY, GROUND FLOOR,        NO 35/4, CUNNINGHAM ROAD,        560052"
19,41,BC101911001838,false,272,Triveni apartments,CHENNAI,TAMIL NADU,"6th Block Triveni apartments Barakka road, secretariat Colony Kilpack Chennai",1,Spykke,"309,Manbhavan appts., plot-26, sector-10, Dwarka"
20,42,BC101911003133,true,1515,The Slate AYR Nungambakkam,CHENNAI,TAMIL NADU,"23, 13, Khader Nawaz Khan Rd, Srirampuram, Thousand Lights West, Nungambakkam, Chennai, Tamil Nadu 600006",437,The Slate,"23, 13, Khader Nawaz Khan Rd, Srirampuram, Thousand Lights West, Nungambakkam, Chennai, Tamil Nadu 600006"
21,43,BC101911001542,true,6779,Chennai Metro Egmore,CHENNAI,TAMIL NADU,"37H6+JC Chennai, Tamil Nadu",547,Metro Station,"Sadanandanagar, Bennigana Halli, Bengaluru, Karnataka 560038"
22,49,BC101911008104,true,7293,Advaith Hyundai Vasanth Nagar,BANGALORE,KARNATAKA,"XHVW+5C Bengaluru, Karnataka",4203,Advaith Hyundai,"# 32,  Residency Rd, opp. Hotel Gateway, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025"
23,59,BC101911001037,true,6785,PVR Cinemas PVR Mahagun-Kaushambi,NEW DELHI,DELHI,"Mahagun Metro Mall VC3, Sector 3, Vaishali, Ghaziabad, Uttar Pradesh 201010",2,PVR Cinemas,"Block A4th FloorBuilding No.9 DLF Cyber CityPhase III Gurgaon : 122002"
24,60,BC101911001379,false,1312,Burger Point,Zirakpur,CHANDIGARH,PUNJAB,"Shop No. 247, Ground Floor, VIP Plaza, VIP Road, Zirakpur, Punjab 140603, India",353,Burger Point,"sco num 247 Devaji Plaza Vip road Zirakpur"
25,62,BC101911005983,true,819,Master Saleem Zirakpur,CHANDIGARH,PUNJAB,"VIP Rd, Zirakpur, Punjab 140603, India",246,Master Saleem,"sco 33-34 1st floor Block B street market Vip Road Zirakpur"
26,63,BC101911004555,true,3672,M/S Ghaziabad Tyre House SD Inter College Building GT Road,NEW DELHI,DELHI,"Shop No 8 to 10, SD College Building, GT Road, Ghaziabad, Uttar Pradesh 201001",1776,M/S Ghaziabad Tyre House,"Shop Number 8-10 SD Inter College Building GT Road Ghaziabad  201001 Delhi NCR"
27,65,BC101911005133,true,4584,PVR Kukatpally Telangana,HYDERABAD,TELANGANA,"4th Floor, Forum Sujana Mall, Plot No S-16, Survey No.1009, KPHB Phase 6, Opp Malaysian Township, Kukatpally, Hyderabad, Telangana 500072",2,PVR Cinemas,"Block A4th FloorBuilding No.9 DLF Cyber CityPhase III Gurgaon : 122002"
28,68,BC101911004680,true,6776,Chennai Metro Perimet,CHENNAI,TAMIL NADU,"37JF+M9 Chennai, Tamil Nadu",547,Metro Station,"Sadanandanagar, Bennigana Halli, Bengaluru, Karnataka 560038"
29,70,BC101911001538,true,6174,S R Opticals Sector 50,NEW DELHI,DELHI,"C-18, GF, Nirvana Courtyard Market, Sector 50, Gurgaon Haryana 122018",3536,S R Opticals,"C-18, GF, Nirvana Courtyard Market, Sector 50, Gurgaon Haryana 122018"
30,72,BC101911001910,false,3413,Flavours Restaurant Test,BANGALORE,KARNATAKA,"Colosseo Ventures,Marathahalli, Bangalore,560037",1629,Flavours Restaurant,"Bangalore"
31,73,BC101911001909,false,5338,Paul Salon For Men & Women B.Narayanapura,BANGALORE,KARNATAKA,"Hewlett Packard Enterprise, Main Rd, Kamadhenu Nagar, B Narayanapura, Mahadevapura, Bengaluru, Karnataka 560016",2946,Paul Salon For Men & Women,"#A6/1,kamadhenunagar,1st stageB.narayanapura,opp.to sub register office dooravani agar post, Bangalore"
32,76,BC101911000944,false,3411,Spin Saloon Vidyaranyapura,BANGALORE,KARNATAKA,"No. 1243, 1st block, BEL Layout, Near Axis bank, Vidyaranyapura, Bangaloore 560097",1623,Spin Saloon,"No.1, Above dominos pizza, Defence colony, Bagalugunte, Bangalore 560073"
33,82,BC101911001530,true,2059,Santosh Tea & Traders Ukkadam,COIMBATORE,TAMIL NADU,"131., baskara Naidu street , st no 1, nazz theatre road, ukkadam, Coimbatore",693,Santosh Tea & Traders,"131., baskara Naidu street , st no 1, nazz theatre road, ukkadam, Coimbatore"
34,84,BC101911001519,true,6795,PVR Cinemas Star Mall Gurgaon,NEW DELHI,DELHI,"NH 8, Block A, Sector 30, Gurugram, Haryana 122022",2,PVR Cinemas,"Block A4th FloorBuilding No.9 DLF Cyber CityPhase III Gurgaon : 122002"
35,86,BC101911001725,false,6476,Hi Tech Enterprises Ambedkar Road,NEW DELHI,DELHI,"Shop No 315 Kallupura Near Maliwara Chowk Ambedkar Road Ghaziabad 201001",3747,Hi Tech Enterprises,"Shop No 315 Kallupura Near Maliwara Chowk Ambedkar Road Ghaziabad 201001"
36,90,BC101911001624,false,806,Vishwas Hospital Lohgarh,CHANDIGARH,PUNJAB,"SCO 40, Lohgarh Rd, opposite green enclave, near Hotel Regenta central, Green Enclave, Lohgarh, Zirakpur, Punjab 140603, India",229,Vishwas Hospital,"Sco 40 opp green enclave near hotel regents central lohgarh road Zirakpur"
37,93,BC101911006346,true,6139,Crown Aura Apartment,BANGALORE,KARNATAKA,"Crown Aura Jakkur Plantation, Jakkuru, Bengaluru, Karnataka 560064",3524,Mr. Ramani Iyer,"Jakkur Plantation, Jakkuru, Bengaluru, Karnataka 560064"
38,96,BC101911001836,true,6156,Cell World Old Madiwala,BANGALORE,KARNATAKA,"No.3,old MADIWALA ,vp road, Bengaluru 560068",280,Cell World,"Shop Number 52, Mehrauli Road DLF colony , Sector 14 Gurgaon"
39,97,BC101911002771,false,5276,HD Communication Opposite SBI Bank Gandhi Nagar,NEW DELHI,DELHI,"Shop No.4, Opposite SBI Bank Gandhi Nagar Ghaziabad 201001",2894,HD Communication,"Shop No.4, Opposite SBI Bank Gandhi Nagar Ghaziabad 201001"
40,98,BC101911001603,true,4129,Jan Seva Kendra Sutiyana,NEW DELHI,DELHI,"Sutiyana, Main Market, Near Bus Stand, GB Nagar, Greater Noida, 201306 Delhi NCR",2041,Jan Seva Kendra,"Sutiyana, Main Market, Near Bus Stand, GB Nagar, Greater Noida, 201306 Delhi NCR"
41,99,BC101911002114,false,6173,Earth Villa Gurgaon Sector 57,NEW DELHI,DELHI,"Plot No.2096, Sector 57, Sushant Lok 2, Near MKM Market Gurgaon Haryana 122011",3535,Earth Villa Gurgaon,"Plot No.2096, Sector 57, Sushant Lok 2, Near MKM Market Gurgaon Haryana 122011"
42,101,BC101911002144,true,5626,Om Sweets Faridabad,NEW DELHI,DELHI,"93,94 Huda Market Sector 16 Faridabad 121002",2962,Om Sweets,"M3M, Cosmopolitan Mall Shop No. 1, Golf Course Extention Road, Sector 66 Gurgaon 122001"
43,102,BC101911002128,false,6741,Chennai Metro Alandur,CHENNAI,TAMIL NADU,"Jawaharlal Nehru Rd,Vinayagapuram, Arumbakkam, Chennai, Tamil Nadu 600106",547,Metro Station,"Sadanandanagar, Bennigana Halli, Bengaluru, Karnataka 560038"
44,103,BC101911001681,true,6671,Baba Homes A-1140 Sushant Lok 1,NEW DELHI,DELHI,"F39H+9R Gurugram, Haryana",3832,Baba Homes,"C-327,sushant Lok 1,gurgaon Haryana 122002"
45,105,BC101911001571,true,6089,MGM Telecom (Mi Store) Surya Nagar,NEW DELHI,DELHI,"Shop No 35,36 Devika Tower Surya Nagar Ghaziabad 201011",3489,MGM Telecom,"Gf 32 Devika Tower Surya Nagar Ghaziabad 201011"
46,109,BC101911001116,true,4315,OSM Stays Boys PG JP House No. 43,NEW DELHI,DELHI,"JP House No. 43, Kirtinagar, Sec 15 part -1, Gurgaon, 122001 Delhi NCR",2164,OSM Stays Boys PG,"Plot No. 37, Rishi House, Near Radhe Krishna Temple, Kirtinagar, Sec 15 Part -1, Gurgaon, 122001 Delhi NCR"
47,110,BC101911002810,false,6532,Black & White Madipakkam,CHENNAI,TAMIL NADU,"4th Cross St, Meenatchi Sundareswarar Koil, Sadasiva Nagar, Madipakkam, Chennai, Tamil Nadu 600091",3806,Black & White,"No : 159 , 4th Cross street , sadashivanagar Madipakkam , near police booth , Chennai-600091"
48,113,BC101911001921,false,6787,PVR Cinemas PVR Prashant Vihar,NEW DELHI,DELHI,"2 Fun city Mall, Pvr Prashant Vihar Road, Prashant Vihar, Sector 14, New Delhi, Delhi 110085",2,PVR Cinemas,"Block A4th FloorBuilding No.9 DLF Cyber CityPhase III Gurgaon : 122002"
49,115,BC101911000716,true,4235,Cafe Coffee Day Crystal,KOLKATA,WEST BENGAL,"CRYSTAL MALL- I, GLOBSYN CRYSTALS,XI-11 & 12, BLOCK-EP, SECTOR-V, SALT, Kolkata-700091",5,Cafe Coffee Day,"CAFE COFFEE DAY, GROUND FLOOR,        NO 35/4, CUNNINGHAM ROAD,        560052"
50,116,BC101911001637,false,6565,Kalra Car Accesories Thakran Market,NEW DELHI,DELHI,"Shop No, 3,4, Thakran Market, South City Road, Sector 47 Gurgaon",3829,Kalra Car Accesories,"4, Vatika City , Badshahpur Chowk, Gurgaon, 12201	hitesh	9891565541"
51,117,BC101911002117,true,5920,Ever Youth Velachery,CHENNAI,TAMIL NADU,"Shop F - 50, Velachery Main Rd, Indira Gandhi Nagar, Velachery, Chennai, Tamil Nadu 600042, India",3362,Ever Youth,"No.42/295,madhava avenue,velachery main road, velachery, Chennai-6000042"
52,118,BC101911001889,true,6786,PVR Cinemas DLF Promenade Mall,NEW DELHI,DELHI,"2nd Floor DLF Promenade Mall Nelson Mandela Road, Vasant Kunj Marg, Vasant Kunj II, New Delhi, Delhi 110070",2,PVR Cinemas,"Block A4th FloorBuilding No.9 DLF Cyber CityPhase III Gurgaon : 122002"
53,119,BC101911001595,false,7193,Hyderabad Metro ESI Hospital,HYDERABAD,TELANGANA,"Hyderabad Metro Station ESI Hospital",4142,Hyderabad Metro,"Hyderabad Metro Rail Depot, Uppal Main Road, Uppal, Hyderabad - 500039"
54,121,BC101911002215,false,5582,Raize the Bar Saltlake,KOLKATA,WEST BENGAL,"Godrej Waterside IT Park Plot No 5 College More, DP Block, Sector V, Bidhannagar, Kolkata, West Bengal 700091, India",3119,Raize the Bar,"Godrej Waterside IT Park Plot No 5 College More, DP Block, Bidhannagar, Kolkata, West Bengal-700091"
55,122,BC101911001894,false,5708,Let's Play Kilpauk,CHENNAI,TAMIL NADU,"9/5 , thambhu street , old millers road , kilpauk , chennai 600010",3222,Let's Play,"9/5 , thambhu street , old millers road , kilpauk , chennai 600010"
56,124,BC101911000842,false,7189,PVR Phoenix Market City,PUNE,MAHARASHTRA,"PVR  2nd Floor, Phoenix Market City, Nagar Road, near Baker Gauges, Pune, Maharashtra 411014",71,PVR,"3rd Grand Square Mall 137, Tambaram, Velachery - Tambaram Main Rd, Velachery, Chennai, Tamil Nadu 600042"
57,125,BC101911004967,false,4783,Baljeet Telecom Gandhi Nagar,NEW DELHI,DELHI,"Shop No 7, 9/8, Gandhi Nagar Main Rd, Gandhi Nagar, Seelampur, Shahdara, Delhi, 110031, India",2487,Baljeet Telecom,"Shop No 7&8, Main Road Gandhi Nagar, Opposite Jain Mandir Wali Gali, Gandhi Nagar, Delhi 110031 Delhi NCR"
58,126,BC101911000933,true,3817,3 Storey Grocery Main Jharsa Road,NEW DELHI,DELHI,"3 Storey Plot No. 1, Main Jharsa Road, Sector 15, Gurgaon 122001 Delhi NCR",1883,3 Storey,"Plot No. 1, Main Jharsa Road, Sector 15, Gurgaon 122001 Delhi NCR"
59,127,BC101911005066,true,828,Meet Up Cafe Zirakpur,CHANDIGARH,PUNJAB,"Chandigarh Citi Center Office, SCO 49, Block B, 4th Floor, Zirakpur, Punjab 140603",256,Meet Up Cafe,"Chandigarh city centre sco 49 Block B 4th floor Vip road Zirakpur"
60,128,BC101911004900,false,5849,Adhyayana the Library Sector 14,NEW DELHI,DELHI,"1st floor, 729/1, near govt, girls college, old dlf, sector 14, gurgaon 122001",3329,Adhyayana the Library,"1st floor, 729/1, near govt, girls college, old dlf, sector 14, gurgaon 122001"
61,130,BC101911004823,true,5631,W Aurile Faridabad,NEW DELHI,DELHI,"Shop No. 114,115, Sector 15 Main Market Faridabad 121007",3157,W Aurile,"Shop No. 114,115, Sector 15 Main Market Faridabad 121007"
62,131,BC101911005067,false,5266,Lodhi Sports MG Road, Gurgaon,NEW DELHI,DELHI,"Gf-3&4, MGF Plaza, MG Road, Gurgaon 122002",2883,Lodhi Sports,"Gf-3&4, MGF Plaza, MG Road, Gurgaon 122002"
63,134,BC101911004571,false,2106,Anand Multi Speciality Hospital Gurugram Sec - 56,NEW DELHI,DELHI,"Anand Multi Speciality Hospital Sector 56 Gurugram",734,Anand Multi Speciality Hospital,"Plot No. 29, Sector 56, Gurugram, Haryana"
64,135,BC101911002666,false,4774,The Perfection 73/1, DLF Phase 3,NEW DELHI,DELHI,"73/1, DLF Phase 3, U Block Gurgaon, 122002 Delhi NCR",2483,The Perfection,"73/1, DLF Phase 3, U Block Gurgaon, 122002 Delhi NCR"
65,137,BC101911004464,true,5354,Om Sweets M3M Cosmopolitan Mall,NEW DELHI,DELHI,"Ground Floor, SHOP NO.1, M3M COSMOPOLITIAN MALL, Gurjar Samrat Mihir Bhoj Rd, Sector 66, Gurugram, Haryana 122002",2962,Om Sweets,"M3M, Cosmopolitan Mall Shop No. 1, Golf Course Extention Road, Sector 66 Gurgaon 122001"
66,138,BC101911005138,true,5827,Om Sweets Opp Water Tank, Gurgaon,NEW DELHI,DELHI,"Shop No. 773,774,775, Arjun Nagar, Opp Water Tank, Gurgaon,122001",2962,Om Sweets,"M3M, Cosmopolitan Mall Shop No. 1, Golf Course Extention Road, Sector 66 Gurgaon 122001"
67,140,BC101911005155,false,6128,Ananda Residency Dlf Phase 2,NEW DELHI,DELHI,"L1/27,dlf Phase 2,gurgaon Haryana,122002",3518,Ananda Residency,"L1/27,dlf Phase 2,gurgaon Haryana,122002"
68,142,BC101911004925,false,5743,Om Sweets Sco-25, Sector 10A,NEW DELHI,DELHI,"Huda Market, SCO: 25, market of sector 10A, Housing Board Colony, Sector 10A, Gurugram, Haryana 122001",2962,Om Sweets,"M3M, Cosmopolitan Mall Shop No. 1, Golf Course Extention Road, Sector 66 Gurgaon 122001"
69,143,BC101911004886,false,4599,Shreem Automobiles Pvt Ltd Kandivali West,MUMBAI,MAHARASHTRA,"Unit 5,6 Kandivali Kesar Ashish CHSL, Link Road, Kandivali west 400064",2371,Shreem Automobiles Pvt Ltd,"Unit 5,6 Kandivali Kesar Ashish CHSL, Link Road, Kandivali west 400067 Mumbai"
70,144,BC101911004905,false,6794,PVR Cinemas PVR MGF Mall - Gurgaon,NEW DELHI,DELHI,"3rd Floor, Metro Station, MGF Metropolitan Mall, Near, Mehrauli-Gurgaon Rd, DLF Phase 2, Sector 25, Gurugram, Haryana 122002",2,PVR Cinemas,"Block A4th FloorBuilding No.9 DLF Cyber CityPhase III Gurgaon : 122002"
71,149,BC101911005579,true,6789,PVR Cinemas PVR Vikaspuri,NEW DELHI,DELHI,"G 1, Community Centre, Ajay Enclave, Vikaspuri, New Delhi, Delhi 110018, India",2,PVR Cinemas,"Block A4th FloorBuilding No.9 DLF Cyber CityPhase III Gurgaon : 122002"
72,151,BC101911006029,true,6366,Halcyon Thai Spa Mg Road,NEW DELHI,DELHI,"Shop No.19,20, 2nd Fllor, MGF Metropolis Mall, Near MG Road Metro Station, Gurgaon Haryana 122002",3672,Halcyon Thai Spa,"Shop No.14, FF, MGf Metropolis Mall, Near MG Road Metro Station Gurgaon Haryana 122002"
73,152,BC101911003951,false,6095,Heavenly Spa Omaxe City Centre,NEW DELHI,DELHI,"B-7,omaxe City Centre,sohna Road,gurgaon,122018",3492,Heavenly Spa,"B-7,omaxe City Centre,sohna Road,gurgaon,122018"
74,153,BC101911003964,true,5927,The Most Wanted Cake Shop Adambakkam,CHENNAI,TAMIL NADU,"No 28, Bridhavan nagar, Second Street Extn, Off Fourth Road, Nethaji Colony Church Rd, near Adambakkam, Adambakkam, Chennai-6000088",3363,The Most Wanted Cake Shop,"No 28, Bridhavan nagar, Second Street Extn, Off Fourth Road, Nethaji Colony Church Rd, near Adambakkam, Adambakkam, Chennai-6000088"
75,156,BC101911004830,false,5336,SREE Vishnu Mobiles A.narayanapura,BANGALORE,KARNATAKA,"370/1,a.narayanapura Mani road next to st .judge church dooravani post , Bangalore 560016",2944,Sree Vishnu Mobiles,"370/1,a.narayanapura Mani road next to st .judge church dooravani post , Bangalore"
76,157,BC101911005686,false,4007,New Royal Mobiles Ambattur,CHENNAI,TAMIL NADU,"No 30, Kulakkarai St, Kamarajapuram, Thirumullaivoyal, Chennai, Tamil Nadu 600062",1974,New royal mobiles,"NO.30, Tank street, Thirumullaivoyl, Chennai- 600062"
77,158,BC101911003949,false,7023,Chainese Panda Sector 29, Gurgaon,NEW DELHI,DELHI,"SCO, 33 ground floor, Sector 29, Gurugram, Haryana 122001, India",4082,Chainese Panda,"Sco 33, Sector 29, Gurgaon 122001"
78,159,BC101911004838,false,3981,Bajrang Auto  Opp, GNG TATA Motor,NEW DELHI,DELHI,"540, 3, Block E, Sector 12, Noida, Uttar Pradesh 201301, India",1949,Bajrang Auto,"540/3, Sector- 12/13, Opp, GNG TATA Motor Delhi NCR"
79,160,BC101911000915,false,5203,Food For U Metro Gate No 2,NEW DELHI,DELHI,"Shop No G 18, Sector 18, Near Sec 18 Metro Gate No 2, Noida, 201301 Delhi NCR",2829,Food For U,"Shop No G 18, Sector 18, Near Sec 18 Metro Gate No 2, Noida, 201301 Delhi NCR"
80,161,BC101911003908,true,6783,PVR Cinemas PVR Ambience Mall-Gurgaon,NEW DELHI,DELHI,"3rd NH 8, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Delhi 122002",2,PVR Cinemas,"Block A4th FloorBuilding No.9 DLF Cyber CityPhase III Gurgaon : 122002"
81,162,BC101911004836,false,4957,The fitness box Variman Point,,NEW DELHI,DELHI,"P-21, Variman Point, Circular Road, New Colony, Gurgaon 122001 Delhi NCR",2632,The fitness box,"P-21, Variman Point, Circular Road, New Colony, Gurgaon 122001 Delhi NCR"
82,163,BC101911006110,true,2189,Casa De Cakes Mg Road Gurgaon,NEW DELHI,DELHI,"Casa De Cakes Mg Road Gurgaon",778,Casa De Cakes,"Adjacent Beverly Park-2,opp.metro Pillar-101,mg Road Gurgaon"
83,164,BC101911006134,false,7058,Crave Design arjangarh metro station,NEW DELHI,DELHI,"opp. Pillor no. 190, arjangarh metro station MG road Delhi  110047",4103,Crave Design,"opp. Pillor no. 190, arjangarh metro station MG road Delhi  110047"
84,166,BC101911005266,true,6783,PVR Cinemas PVR Ambience Mall-Gurgaon,NEW DELHI,DELHI,"3rd NH 8, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Delhi 122002",2,PVR Cinemas,"Block A4th FloorBuilding No.9 DLF Cyber CityPhase III Gurgaon : 122002"
85,167,BC101911005123,true,4070,S2 Cinemas Perambur,CHENNAI,TAMIL NADU,"114, A, 114 B , 3rd floor, Paper Mills Road, Gopal Colony, Perambur, Chennai, Tamil Nadu 600011",2025,S2 Cinemas Perambur,"2nd Floor, Spectrum Mall, Paper Mills Road,Perambur,Chennai 600 011"
86,169,BC101911005093,false,3147,Shree Ram Medical Bhatta Colony,,NEW DELHI,DELHI,"Shop No-5, Gali No-1, Bhatta Colony, Sector 102, Noida 201304",1447,Shree Ram Medical,"Shop No-5, Gali No-1, Bhatta Colony, Sector 102, Noida"
87,170,BC101911004211,false,2595,Kadambini Women's Clothing Medavakkam,CHENNAI,TAMIL NADU,"no 1 Medavakkam main road medavakkam next Barath petrol bank, Chennai-600100",1180,Kadambini Women's Clothing,"medavakkam next Barath petrol bank"
88,171,BC101911004177,false,5497,Saraswati Communication Near Radhakrishnan Mandir,NEW DELHI,DELHI,"Gali No. 2D, Nithari, Near Radhakrishnan Mandir, Sector 31, Noida, 201301",3069,Saraswati Communication,"Gali No. 2D, Nithari, Near Radhakrishnan Mandir, Sector 31, Noida, 201301"
89,172,BC101911004226,true,5761,Lotus Stay Sector-45,NEW DELHI,DELHI,"Plot No. 1890, Sector -45, Near Euro International School, Gurgaon 122003",3266,Lotus Stay,"Plot No. 1890, Sector -45, Near Euro International School, Gurgaon 122003"
90,174,BC101911004235,true,799,Osmed Healthcare Zirakpur,CHANDIGARH,PUNJAB,"Lohgarh Rd, Green Enclave, Lohgarh, Zirakpur, Punjab 140603",218,Osmed Healthcare,"Lohgarh Road Defence Enclave Zirakpur"
91,175,BC101911004213,true,4190,Cafe Coffee Day VIP Road,KOLKATA,WEST BENGAL,"1/2 Block 1, Near HaldiramKoyla Vihar, Vasundhara, Kolkata-700052",5,Cafe Coffee Day,"CAFE COFFEE DAY, GROUND FLOOR,        NO 35/4, CUNNINGHAM ROAD,        560052"
92,176,BC101911001960,true,1841,Bangalore Metro Hosahalli,BANGALORE,KARNATAKA,"Govindaraja nagar ward,stage 1, vijayanagar,bengaluru 560040",547,Metro Station,"Sadanandanagar, Bennigana Halli, Bengaluru, Karnataka 560038"
93,177,BC101911004229,true,806,Vishwas Hospital Lohgarh,CHANDIGARH,PUNJAB,"SCO 40, Lohgarh Rd, opposite green enclave, near Hotel Regenta central, Green Enclave, Lohgarh, Zirakpur, Punjab 140603, India",229,Vishwas Hospital,"Sco 40 opp green enclave near hotel regents central lohgarh road Zirakpur"
94,178,BC101911004164,true,3669,Television Sound Centre  Ghanta Ghar Flyover,NEW DELHI,DELHI,"216/4 Ghanta Ghar Flyover GT Road Ghaziabad 201001 Delhi NCR",1773,Television Sound Centre,"216/4 Ghanta Ghar Flyover GT Road Ghaziabad 201001 Delhi NCR"
95,179,BC101911006253,true,7077,Curves N Cuts Faridabad,NEW DELHI,DELHI,"scf :3 & 4, Ashoka Enclave 1, Sector 35, Faridabad, Haryana 121003",4114,Curves N Cuts,"Scf-3/4, Ashoka Enclave, Sector 35  Faridabad 121003"
96,180,BC101911004024,true,489,Grand Square Mall Velachery,null,null,"137, Velachery - Tambaram Main Rd, V.O.C Nagar, Doctor Seetaram Nagar, Velachery, Chennai, Tamil Nadu 600042",69,Grand Square Mall,"137, Velachery - Tambaram Main Rd, V.o.c Nagar, Doctor Seetaram Nagar, Velachery, Chennai, Tamil Nadu 600042"
97,184,BC101911006156,true,6113,Ansh Communication Opp Hdfc Bank Shop No 1,NEW DELHI,DELHI,"Shop No 1,opp. Hdfc Bank,old Delhi Road,sector 14,gurgaon,haryana 122007",1753,Ansh Communication,"Shop No.1483, Bhagat Singh Nagar, Derabassi Chandigarh"
